latitude_deg,incoming_solar_wm2,asr_wm2,olr_wm2,ntoa_wm2,toa_regime
-89.5,172.45070403962495,49.9354456692367,141.28070298218802,-91.34525731295132,deficit
-88.5,172.56392148587832,50.99374175800135,142.077980953923,-91.08423919592165,deficit
-87.5,172.7907400422623,52.79889370385048,145.72779660114728,-92.9289028972968,deficit
-86.5,173.13341939155563,54.007837373355315,148.96671791231236,-94.95888053895705,deficit
-85.5,173.58926670340585,54.75368474005546,152.4853055438237,-97.73162080376824,deficit
-84.5,174.15899017773216,55.048268791325526,155.68716711157737,-100.63889832025184,deficit
-83.5,174.84833829761425,54.84472989840543,156.9872526528736,-102.14252275446816,deficit
-82.5,175.65432676184335,54.803126990665035,157.65049060674895,-102.84736361608391,deficit
-81.5,176.58091382580326,54.70447123917165,157.97758445952812,-103.27311322035646,deficit
-80.5,177.627530608276,55.04686561407786,157.88756104067087,-102.84069542659302,deficit
-79.5,178.79999025488664,55.24008262277913,157.91784162044056,-102.67775899766143,deficit
-78.5,180.09855623446816,56.22604207801709,158.38275447532547,-102.15671239730838,deficit
-77.5,181.52732092406478,59.1007463742644,159.75997557330402,-100.65922919903961,deficit
-76.5,183.08956187955,60.68919628609173,161.4929441694962,-100.80374788340448,deficit
-75.5,184.7898417970931,61.34685819046254,163.98444049698594,-102.6375823065234,deficit
-74.5,186.63174652288154,62.97238068291914,166.36938661552966,-103.39700593261053,deficit
-73.5,188.6244037970843,65.14359236070996,169.21361778291865,-104.07002542220869,deficit
-72.5,190.7741763970701,66.45457218346534,172.6031915825307,-106.14861939906537,deficit
-71.5,193.08954780481892,68.14975800370586,176.37352170893035,-108.2237637052245,deficit
-70.5,195.58366804759018,70.68130362186102,179.342341530716,-108.66103790885498,deficit
-69.5,198.27245883970508,74.88664917012532,182.9118423888044,-108.02519321867906,deficit
-68.5,201.1773880606948,78.67045612493698,186.3004058948183,-107.62994976988134,deficit
-67.5,204.33173753482265,82.8513534075428,189.59056034825505,-106.73920694071225,deficit
-66.5,207.81992467511662,88.90204728621009,192.361809945788,-103.4597626595779,deficit
-65.5,211.7302124908388,95.5336798499858,194.417343097871,-98.8836632478852,deficit
-64.5,215.9171161844832,101.58991236013568,196.13595134036171,-94.54603898022603,deficit
-63.5,220.28750552260044,108.19525799998291,197.7978713583181,-89.60261335833519,deficit
-62.5,224.79233062480108,113.8174704661467,199.33583361958117,-85.51836315343446,deficit
-61.5,229.39865584326998,119.09823692621741,200.82209209491853,-81.72385516870112,deficit
-60.5,234.08024535922254,124.31720602106336,202.30706578556436,-77.989859764501,deficit
-59.5,238.81770335318498,130.14666345500433,203.37786454812888,-73.23120109312455,deficit
-58.5,243.59439337369764,135.4463560336026,204.8510158807447,-69.40465984714211,deficit
-57.5,248.39654794521078,140.62049400405624,206.3668255486894,-65.74633154463316,deficit
-56.5,253.21269851189925,145.41706778961105,207.70789499003973,-62.29082720042868,deficit
-55.5,258.0327515101305,149.90614134045188,209.01824571498577,-59.112104374533885,deficit
-54.5,262.8472392694567,154.49069199641968,210.44533239608396,-55.95464039966427,deficit
-53.5,267.6489125862661,159.6568745366716,211.9854815588268,-52.32860702215518,deficit
-52.5,272.43082773310766,164.10148237840644,213.41707378049472,-49.31559140208827,deficit
-51.5,277.1863469061279,168.5837891991958,214.84726008297307,-46.26347088377727,deficit
-50.5,281.90969980482384,173.26793828071658,216.3309268251644,-43.06298854444782,deficit
-49.5,286.5963111955147,177.79276608768,217.90092403924476,-40.10815795156475,deficit
-48.5,291.24038234815555,182.51771637654724,219.55563466455703,-37.03791828800979,deficit
-47.5,295.83796774279625,187.54201993105667,221.29080496313748,-33.748785032080804,deficit
