latitude_deg,ceres_raw_implied_total_pw
-90.0,0.0
-89.0,-0.0035865596531892
-88.0,-0.0143128199200062
-87.0,-0.0325421822772705
-86.0,-0.0586096002226988
-85.0,-0.0930792739530221
-84.0,-0.1364384733044664
-83.0,-0.1884248402430819
-82.0,-0.2487672655308995
-81.0,-0.317382529851918
-80.0,-0.3936784295164225
-79.0,-0.4777801860228111
-78.0,-0.5693133728278781
-77.0,-0.6672128896498564
-76.0,-0.7729023272279544
-75.0,-0.8883158815383588
-74.0,-1.0123862491053472
-73.0,-1.1451657267583848
-72.0,-1.288448754350318
-71.0,-1.4425606169915872
-70.0,-1.6055865744953128
-69.0,-1.7759159100635675
-68.0,-1.9535157052797592
-67.0,-2.137480227571619
-66.0,-2.323669266640937
-65.0,-2.509160549964652
-64.0,-2.693314569383091
-63.0,-2.874084445046815
-62.0,-3.052580024697818
-61.0,-3.2289698925171773
-60.0,-3.402670630937949
-59.0,-3.570726494325251
-58.0,-3.734676131530416
-57.0,-3.894407834818033
-56.0,-4.049875941886792
-55.0,-4.201394662648227
-54.0,-4.348592432834606
-53.0,-4.489840298225499
-52.0,-4.626198943435622
-51.0,-4.75715510653952
-50.0,-4.8818881029190635
-49.0,-5.000652192714054
-48.0,-5.112819299534031
-47.0,-5.2173502824884475
-46.0,-5.313792269359886
-45.0,-5.401375379089315
-44.0,-5.480436075787727
-43.0,-5.55011117497558
-42.0,-5.61004889910399
-41.0,-5.659988245713553
-40.0,-5.699811244693456
-39.0,-5.72950356024452
-38.0,-5.749658204670133
-37.0,-5.758944639868476
-36.0,-5.756156342752443
-35.0,-5.742585542081176
-34.0,-5.719589516866926
-33.0,-5.687786059573296
-32.0,-5.646108981915046
-31.0,-5.597068554900652
-30.0,-5.540149848907599
-29.0,-5.475152259445666
-28.0,-5.402920905607203
-27.0,-5.323235827058032
-26.0,-5.235452860569132
-25.0,-5.13992080738972
-24.0,-5.0387072799516
-23.0,-4.930084317263443
-22.0,-4.814557079897563
-21.0,-4.691390942128278
-20.0,-4.559600510605811
-19.0,-4.416948429305651
-18.0,-4.264836898559565
-17.0,-4.104010517080312
-16.0,-3.9328355029182607
-15.0,-3.749757605014724
-14.0,-3.555564042326039
-13.0,-3.350534810768443
-12.0,-3.1355826057466705
-11.0,-2.909266909080539
-10.0,-2.6724104781153657
-9.0,-2.425752371958756
-8.0,-2.1703336006569467
-7.0,-1.9048276274665723
-6.0,-1.631073474592198
-5.0,-1.3498156003475428
-4.0,-1.0594366077077495
-3.0,-0.7638073423774387
-2.0,-0.4594969418836446
-1.0,-0.1500211524456606
0.0,0.1655643064008297
1.0,0.4792377628383139
2.0,0.7860707298757267
3.0,1.0839342687611562
4.0,1.3748868715377385
5.0,1.6593322659281915
6.0,1.939045789772896
7.0,2.2179120157495533
8.0,2.4961463174493663
9.0,2.7732275990005646
10.0,3.0486451990761307
11.0,3.3196719744215875
12.0,3.5859616600141564
13.0,3.8383719241038494
14.0,4.072010955788435
15.0,4.284930679681427
16.0,4.475470937100981
17.0,4.6467471122012265
18.0,4.797888583501107
19.0,4.9299680552461735
20.0,5.049490709917552
21.0,5.159049313385256
22.0,5.258156116460625
23.0,5.347508975282712
24.0,5.428162458053069
25.0,5.499842604106931
26.0,5.56055986815682
27.0,5.6126165855112475
28.0,5.650924607666681
29.0,5.682439098712703
30.0,5.707622232450356
31.0,5.725534637816144
32.0,5.745171796562447
33.0,5.763474436583581
34.0,5.779196921629933
35.0,5.788273661674179
36.0,5.7895861122922945
37.0,5.7839089922699545
38.0,5.768887368370391
39.0,5.74350135319187
40.0,5.706458873856036
41.0,5.659315267938759
42.0,5.603503863325118
43.0,5.538661328558555
44.0,5.462892579687564
45.0,5.377789256328626
46.0,5.284188463372779
47.0,5.182617663936706
48.0,5.072884345965323
49.0,4.955988143595396
50.0,4.8337648000266995
51.0,4.705944563150824
52.0,4.572245441728144
53.0,4.433936626846515
54.0,4.292044428581916
55.0,4.147086879472115
56.0,3.998434010083258
57.0,3.845430248032869
58.0,3.69048010246908
59.0,3.5351746848666585
60.0,3.3789362025415035
61.0,3.2186936414654417
62.0,3.0568712794507733
63.0,2.894910097179393
64.0,2.733251176180295
65.0,2.57138791634066
66.0,2.4091072594428855
67.0,2.2487502791805465
68.0,2.08963644474602
69.0,1.9321032866101189
70.0,1.7767433138116149
71.0,1.6247370634470717
72.0,1.475272165293768
73.0,1.3289134604145398
74.0,1.1874896532441912
75.0,1.0521412376681147
76.0,0.9237911729342524
77.0,0.8024325410486444
78.0,0.6883303659626292
79.0,0.5816334435725784
80.0,0.4833090282065799
81.0,0.393468342585578
82.0,0.3128049273406348
83.0,0.2407070283169233
84.0,0.1772584902683054
85.0,0.1232241997884727
86.0,0.0789129208861686
87.0,0.0444237123659512
88.0,0.0197684784062378
89.0,0.0049522801686059
90.0,0.0
