latitude_deg,ceres_implied_total_pw,era5_actual_aht_pw
-90.0,0.0,0.0
-89.0,-0.0035865596531892,-0.0034712418008343
-88.0,-0.0143128199200062,-0.0145443034611332
-87.0,-0.0325421822772705,-0.0325002375932892
-86.0,-0.0586096002226988,-0.0572002292216333
-85.0,-0.0930792739530221,-0.0906207959872476
-84.0,-0.1364384733044664,-0.1317601191362465
-83.0,-0.1884248402430819,-0.1844117211969798
-82.0,-0.2487672655308995,-0.2409741207893818
-81.0,-0.317382529851918,-0.30872176277909
-80.0,-0.3936784295164225,-0.3855937168209868
-79.0,-0.4777801860228111,-0.468954482492447
-78.0,-0.5693133728278781,-0.5568788282102506
-77.0,-0.6672128896498564,-0.6445286113011092
-76.0,-0.7729023272279544,-0.742763029331409
-75.0,-0.8883158815383588,-0.8426644991145844
-74.0,-1.0123862491053472,-0.9558581669938232
-73.0,-1.1451657267583848,-1.0641929930813254
-72.0,-1.288448754350318,-1.1937792929887474
-71.0,-1.4425606169915872,-1.3256223726901044
-70.0,-1.6055865744953128,-1.4677616990147628
-69.0,-1.7759159100635675,-1.6094010108413803
-68.0,-1.9535157052797592,-1.753253171080818
-67.0,-2.137480227571619,-1.895711592219887
-66.0,-2.323669266640937,-2.035620642811861
-65.0,-2.509160549964652,-2.170194747230962
-64.0,-2.693314569383091,-2.3093814648590634
-63.0,-2.874084445046815,-2.447585264421272
-62.0,-3.052580024697818,-2.5874878133027854
-61.0,-3.2289698925171773,-2.7283825593767923
-60.0,-3.402670630937949,-2.8674121289762633
-59.0,-3.570726494325251,-3.0056513354511445
-58.0,-3.734676131530416,-3.1434037489136513
-57.0,-3.894407834818033,-3.2818634213755313
-56.0,-4.049875941886792,-3.4208651860184283
-55.0,-4.201394662648227,-3.559058579615626
-54.0,-4.348592432834606,-3.701695810636197
-53.0,-4.489840298225499,-3.849743893024666
-52.0,-4.626198943435622,-4.000399866172423
-51.0,-4.75715510653952,-4.1551063755778985
-50.0,-4.8818881029190635,-4.311149463851558
-49.0,-5.000652192714054,-4.4631133449669615
-48.0,-5.112819299534031,-4.602733786346905
-47.0,-5.2173502824884475,-4.733297382394502
-46.0,-5.313792269359886,-4.85374408253015
-45.0,-5.401375379089315,-4.96333224982247
-44.0,-5.480436075787727,-5.052172809351778
-43.0,-5.55011117497558,-5.1190602893017445
-42.0,-5.61004889910399,-5.15942854116949
-41.0,-5.659988245713553,-5.17260041553729
